Council,Year,Sum
Stonnington,2021,3907
Stonnington,2022,2695
Stonnington,2023,2972
Stonnington,2024,3149
Strathbogie,2016,169
Strathbogie,2017,204
Strathbogie,2018,195
Strathbogie,2019,196
Strathbogie,2020,180
Strathbogie,2021,223
Strathbogie,2022,184
Strathbogie,2023,165
Strathbogie,2024,176
Surf Coast,2016,348
Surf Coast,2017,429
Surf Coast,2018,348
Surf Coast,2019,339
Surf Coast,2020,353
Surf Coast,2021,515
Surf Coast,2022,461
Surf Coast,2023,381
Surf Coast,2024,391
Swan Hill,2016,1056
Swan Hill,2017,1002
Swan Hill,2018,1075
Swan Hill,2019,1045
Swan Hill,2020,959
Swan Hill,2021,1209
Swan Hill,2022,1063
Swan Hill,2023,958
Swan Hill,2024,935
Towong,2016,82
Towong,2017,106
Towong,2018,86
Towong,2019,63
Towong,2020,63
Towong,2021,67
Towong,2022,53
Towong,2023,69
Towong,2024,94
Wangaratta,2016,1022
Wangaratta,2017,1051
Wangaratta,2018,1066
Wangaratta,2019,889
Wangaratta,2020,890
Wangaratta,2021,1022
Wangaratta,2022,931
Wangaratta,2023,997
Wangaratta,2024,1016
Warrnambool,2016,1172
Warrnambool,2017,1310
Warrnambool,2018,1588
Warrnambool,2019,1749
Warrnambool,2020,1247
Warrnambool,2021,1334
Warrnambool,2022,1148
Warrnambool,2023,1214
Warrnambool,2024,1359
Wellington,2016,1603
Wellington,2017,1619
Wellington,2018,1330
Wellington,2019,1546
Wellington,2020,1644
Wellington,2021,1927
Wellington,2022,1603
Wellington,2023,1675
Wellington,2024,1866
West Wimmera,2016,63
West Wimmera,2017,60
West Wimmera,2018,57
West Wimmera,2019,52
West Wimmera,2020,55
West Wimmera,2021,57
West Wimmera,2022,74
Whitehorse,2016,1917
Whitehorse,2017,2047
Whitehorse,2018,2049
Whitehorse,2019,2207
Whitehorse,2020,2257
Whitehorse,2021,2826
Whitehorse,2022,1987
Whitehorse,2023,2004
Whitehorse,2024,2571
Whittlesea,2016,3635
Whittlesea,2017,4463
Whittlesea,2018,4338
Whittlesea,2019,4891
Whittlesea,2020,4960
Whittlesea,2021,6216
Whittlesea,2022,4379
Whittlesea,2023,4583
Whittlesea,2024,4900
